,Membership_1M,Membership_2M,Membership_12M,Membership_6M,Wristband,Water - Aquafina 500ml,Water - Revive Organe 500ml,Water - Revive White 500ml,Membership_7M,JoiningFee_1M,Towel,Lock,Membership_13M,PT 10 session,Dabaco 1 Egg,JoiningFee_2M,Membership_1D,PT 10 upgrade to 30 session,Dabaco Combo 5 Egg,Shaker,Membership_3M,PT 30 session,PT 100 session,PT 10 upgrade to 100 session,PT 50 session,PT 10 upgrade to 50 session,Fitto,Fitto Superfit
101000283,0.09066728205128209,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000320,,0.11840861538461536,,,,,,,,,,,,,,,,,,,,,,,,,,
101000325,,,0.15725185185185186,,,,,,,,,,,,,,,,,,,,,,,,,
101000391,0.09066728205128209,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000426,,,0.1409518518518518,,,,,,,,,,,,,,,,,,,,,,,,,
101000442,,0.05869517948717951,,,,,,,,,,,,,,,,,,,,,,,,,,
101000486,0.0558081538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000487,,,0.1309210826210826,,,,,,,,,,,,,,,,,,,,,,,,,
101000503,,0.1502259487179487,,0.11831225071225071,,,,,,,,,,,,,,,,,,,,,,,,
101000551,,,,0.08069686609686608,,0.0067961253561253385,0.006350940170940154,0.005905754985754968,,,,,,,,,,,,,,,,,,,,
101000558,,0.06371056410256411,,,,,,,,,,,,,,,,,,,,,,,,,,
101000609,0.013674512820512815,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000610,0.0869057435897435,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000628,,,,0.1433891737891737,,,,,,,,,,,,,,,,,,,,,,,,
101000647,0.06758989743589738,0.14897210256410257,,0.08696609686609683,,,,,,,,,,,,,,,,,,,,,,,,
101000662,,0.043649025641025574,,,,,,,,,,,,,,,,,,,,,,,,,,
101000667,,,,0.13962763532763522,,,,,,,,,,,,,,,,,,,,,,,,
101000675,,,,0.1158045584045584,,,,,,,,,,,,,,,,,,,,,,,,
101000685,0.04853364102564096,0.16652594871794865,,,,,,,,,,,,,,,,,,,,,,,,,,
101000692,0.08314420512820506,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000716,0.0956826666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000747,0.0793826666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000817,0.14270287179487182,,,0.11705840455840455,,,,,,,,,,,,,,,,,,,,,,,,
101000835,0.0718595897435897,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000858,0.14270287179487182,,,0.11705840455840455,,,,,,,,,,,,,,,,,,,,,,,,
101000871,0.12853123076923076,,,0.08947378917378912,,,,,,,,,,,,,,,,,,,,,,,,
101000872,,,,0.08947378917378912,,,,,,,,,,,,,,,,,,,,,,,,
101000877,0.08941343589743594,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000895,0.09819035897435899,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000899,0.07135143589743584,0.1602567179487179,,,,,,,,,,,,,,,,,,,,,,,,,,
101000976,0.03498989743589735,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001079,0.12000287179487176,0.071233641025641,,,,,,,,,,,,,,,,,,,,,,,,,,
101001122,0.09066728205128209,,,,0.1047595441595441,,,,,,,,,,,,,,,,,,,,,,,
101001168,0.09819035897435899,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001172,0.08063651282051275,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001178,0.08941343589743594,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001179,0.08716728205128207,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001195,,0.06496441025641025,,,,,,,,,,,,,,,,,,,,,,,,,,
101001225,,0.04991825641025632,,,,,,,,,,,,,,,,,,,,,,,,,,
101001230,0.06357979487179488,,,,0.07592108262108266,,,,,,,,,,,,,,,,,,,,,,,
101001241,0.12351584615384617,,,0.11705840455840455,,,,,,,,,,,,,,,,,,,,,,,,
101001250,0.0550514358974359,0.06747210256410256,,,0.04708262108262108,,,,,,,,,,,,,,,,,,,,,,,
101001263,0.08565189743589735,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001284,0.053300461538461505,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001291,0.09693651282051284,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001311,0.06057497435897436,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001361,0.08314420512820506,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001364,0.065838923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001372,0.07662641025641026,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001386,0.09066728205128209,,,,0.03203646723646728,,,,,,,,,,,,,,,,,,,,,,,
101001417,0.06483364102564104,,,,,,,,,0.07146923076923081,,,,,,,,,,,,,,,,,,
101001486,0.07611825641025638,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001487,0.07586969230769233,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001488,0.10195189743589744,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001490,,,,0.13461225071225064,,,,,,,,,,,,,,,,,,,,,,,,
101001492,0.06433651282051281,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001558,,,,0.13962763532763522,,,,,,,0.06639467236467228,,,,,,,,,,,,,,,,,
101001600,0.04101056410256406,0.1502259487179487,,,,,,,,,,,,,,,,,,,,,,,,,,
101001610,0.09969276923076917,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001612,0.065838923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001640,,0.10973651282051276,,,,,,,,,,,,,,,,,,,,,,,,,,
101001644,0.0956826666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001645,,0.07875671794871791,,,,,,,,,,,,,,,,,,,,,,,,,,
101001665,0.08941343589743594,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001668,,0.054933641025641064,,,,,,,,,,,,,,,,,,,,,,,,,,
101001673,0.065838923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001674,0.06006682051282049,0.15398748717948715,,,,,,,,,,,,,,,,,,,,,,,,,,
101001705,0.03975671794871791,0.16401825641025636,,,,,,,,,,,,,,,,,,,,,,,,,,
101001717,0.0869057435897435,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001720,0.0548028717948717,0.16777979487179479,,,0.00695954415954415,,,,,,,,,,,,,,,,,,,,,,,
101001741,0.0803879487179487,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001745,,,,0.07944301994301992,,,,,,,,,,,,,,,,,,,,,,,,
101001746,,,,0.07944301994301992,,,,,,,,,,,,,,,,,,,,,,,,
101001755,0.06559035897435896,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001785,,0.15900287179487174,,0.11455071225071226,,,,,,,,,,,,,,,,,,,,,,,,
101001791,0.09066728205128209,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001795,0.09066728205128209,,,,,0.16081914529914532,0.15770284900284903,0.15814803418803422,,,,0.16215470085470088,,,,,,,,,,,,,,,,
101001796,0.06960046153846144,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001812,0.12125671794871792,,,0.12959686609686605,,,,,,,,,,,,,,,,,,,,,,,,
101001849,0.0746158461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001882,0.0746158461538462,,,,,,,,,0.10657692307692299,,,,,,,,,,,,,,,,,,
101001886,0.14908989743589737,0.07462882051282044,,,,,,,,,,,,,,,,,,,,,,,,,,
101001893,0.0818903589743589,,,,0.11102877492877483,,,,,,,,,,,,,,,,,,,,,,,
101001916,,0.07499517948717946,,,,,,,,,,,,,,,,,,,,,,,,,,
101001929,,0.06371056410256411,,,,,,,,,,,,,,,,,,,,,,,,,,
101001941,,0.08126441025641021,,,,,,,,,,,,,,,,,,,,,,,,,,
101002009,,,,0.08320455840455837,,,,,,,,,,,,,,,,,,,,,,,,
101002103,0.0693518974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,
101002164,0.06884374358974353,,,,,,,,,,,,,,,,,,,,,,,,,,,
